path	/ui/dialogs/menu_op/summaries												
op	en	zh-TW	ja	fr	ru	es	de	it	eo	th	vi	ko	ar
CHOP MIDI Out	Sends MIDI events to any available MIDI devices when its input channels change. More flexibly, the Python MidioutCHOP Class can be used to send any type of MIDI event to a MIDI device via an existing MIDI Out CHOP.	當MIDI輸入通道發生變化時，將MIDI事件發送到任何可用的MIDI設備。更靈活的是，Python MidioutCHOP Class可用於通過現有的MIDI Out CHOP將任何類型的MIDI事件發送到MIDI設備。	入力チャンネルが変わると、利用可能なMIDIデバイスにMIDIイベントを送信します。より柔軟には、Python MidioutCHOPクラスを使用して、既存のMIDI Out CHOPを介してあらゆるタイプのMIDIイベントをMIDIデバイスに送信することができます。	Envoie des événements MIDI à tous les périphériques MIDI disponibles lorsque ses canaux d'entrée de changement. Plus souple, la classe Python MidioutCHOP peut être utilisé pour envoyer tout type d'événement MIDI à un appareil MIDI via un MIDI Out existant CHOP.	Посылает MIDI события любых доступных устройств MIDI, когда его изменения входных каналов. Более гибко, Питон MidioutCHOP класс может быть использован для отправки любого типа MIDI события на MIDI-устройство через существующий MIDI Out CHOP.	Envía eventos MIDI a cualquier dispositivo MIDI disponibles cuando su cambio de canales de entrada. Con mayor flexibilidad, el MidioutCHOP clase Python puede ser usado para enviar cualquier tipo de evento MIDI a un dispositivo MIDI a través de una salida MIDI CHOP existente.	Sendet MIDI-Events auf alle verfügbaren MIDI-Geräte, wenn seine Eingangskanäle ändern. Flexibler kann der Python MidioutCHOP Klasse jede Art von MIDI-Ereignisse zu einem MIDI-Gerät über einen bestehenden MIDI-Out-CHOP senden verwendet werden.	Invia gli eventi MIDI a tutti i dispositivi MIDI disponibili quando il suo canali di ingresso cambia. Più flessibile, il Python MidioutCHOP classe può essere utilizzato per inviare qualsiasi tipo di evento MIDI ad un dispositivo MIDI tramite un MIDI Out CHOP esistente.	Sendas MIDI okazaĵoj al ajna disponebla MIDI aparatoj kiam ĝia enigo kanalojn ŝanĝon. Pli flekseble, la Python MidioutCHOP klaso povas esti uzata por sendi ajnan tipon de MIDI evento al MIDI aparaton tra ekzistantan MIDI Out kotleton.	ส่งเหตุการณ์ MIDI เพื่อพร้อมใช้งานอุปกรณ์ใด ๆ MIDI เมื่อมันเปลี่ยนแปลงช่องสัญญาณ ความยืดหยุ่นมากขึ้น, งูหลาม MidioutCHOP ชั้นสามารถนำมาใช้ในการส่งประเภทของเหตุการณ์ใด ๆ MIDI ไปยังอุปกรณ์ MIDI ผ่านทางที่มีอยู่ออก MIDI CHOP	Gửi MIDI sự kiện cho bất kỳ thiết bị MIDI có sẵn khi nó kênh đầu vào thay đổi. linh hoạt hơn, Python MidioutCHOP Class có thể được sử dụng để gửi bất kỳ loại sự kiện MIDI với một thiết bị MIDI thông qua một MIDI Out CHOP hiện có.	사용 가능한 MIDI 장치의 입력 채널 변화에 MIDI 이벤트를 보냅니다. 더 유연하게, 파이썬 MidioutCHOP 클래스는 기존의 미디 아웃 CHOP를 통해 MIDI 장치로 MIDI 이벤트의 모든 유형을 보낼 수 있습니다.	يرسل أحداث MIDI إلى أي أجهزة MIDI المتوفرة عند تغيير القنوات مدخلاته. أكثر مرونة، وبيثون MidioutCHOP الدرجة يمكن استخدامها لإرسال أي نوع من الحدث MIDI إلى جهاز MIDI عبر MIDI خارج CHOP القائمة.
CHOP Mouse In	Outputs X and Y screen values for the mouse device and monitors the up/down state of the three mouse buttons.	輸出鼠標設備的X和Y屏幕值，並監視三個鼠標按鈕的上/下狀態。	マウスデバイスのXとYの画面値を出力し、3つのマウスボタンの上下の状態を監視します。	Sorties X et les valeurs de l'écran Y pour le périphérique de la souris et surveille l'état haut / bas des trois boutons de la souris.	Выходы X и Y экран значение для устройства мыши и контролируют вверх / вниз состояние трех кнопок мыши.	Las salidas x y valores de la pantalla Y para el dispositivo de ratón y monitores de la arriba / abajo estado de los tres botones del ratón.	Die Ausgänge X und Y-Rasterwert für das Mausgerät und überwachen den Auf- / Ab-Zustand der drei Maustasten.	Uscite X e Y valori schermo per il dispositivo del mouse e monitor su / giù stato dei tre pulsanti del mouse.	Eliroj X kaj Y ekrano valoroj por la muso aparato kaj monitoras la supren / malsupren stato de la tri musbutonoj.	เอาท์พุท X และ Y ค่าหน้าจอสำหรับอุปกรณ์เมาส์และตรวจสอบการขึ้น / ลงของรัฐของสามปุ่มเมาส์	Kết quả đầu ra X và giá trị màn hình Y cho thiết bị chuột và theo dõi lên / xuống trạng thái của ba nút chuột.	출력 X 및 마우스 장치의 화면 Y 값과 세 마우스 버튼 업 / 다운 상태를 모니터링한다.	مخرجات X والقيم شاشة Y للجهاز الماوس وتراقب لأعلى / أسفل حالة أزرار الماوس الثلاثة.
CHOP NatNet In	The NatNet In CHOP.	NatNet In CHOP。	CHOPでNatNet。	Le NatNet En CHOP.	NatNet В СНОР.	El NatNet En CHOP.	Die NATNET In CHOP.	Il NatNet In CHOP.	La NatNet En kotleton.	NatNet ใน CHOP	Các NatNet Trong CHOP.	CHOP에서 NatNet.	وNatNet في CHOP.
CHOP Noise	Makes an irregular wave that never repeats, with values approximately in the range -1 to +1. It generates both smooth curves and noise that is random each sample.	產生一個永不重複的不規則波，其值大約在-1到+1的範圍內。它產生平滑的曲線和每個樣本隨機的噪聲。	繰り返すことのない不規則な波を作ります。値はおよそ-1から+1の範囲です。滑らかな曲線と各サンプルにランダムなノイズの両方を生成します。	Fait une onde irrégulière qui se répète jamais, avec des valeurs approximativement dans la plage de -1 à +1. Il génère à la fois des courbes lisses et le bruit qui est chaque échantillon aléatoire.	Делает неправильную волну, которая никогда не повторяется, со значениями примерно в диапазоне от -1 до +1. Он генерирует как гладкие кривые и шум, который случайным образом каждый образец.	Hace una onda irregular que nunca se repite, con valores aproximadamente en el intervalo -1 a +1. Genera ambas curvas suaves y ruido que es al azar cada muestra.	Mach eine unregelmäßige Welle, die nie wiederholt, mit Werten in etwa im Bereich von -1 bis +1. Es erzeugt sowohl glatte Kurven und Rauschen, das jede Probe zufällig ist.	Rende un'onda irregolare che non si ripete, con valori approssimativamente nell'intervallo da -1 a +1. Esso genera entrambe le curve lisce e rumore che è casuale ogni campione.	Faras neregulan ondo kiuj neniam ripetas, kun valoroj proksimume en la intervalo -1 al +1. Ĝi generas ambaŭ glataj kurboj kaj bruo kiu estas hazardaj ĉiu specimeno.	ทำให้คลื่นที่ผิดปกติที่ไม่ซ้ำที่มีค่าโดยประมาณในช่วง -1 ถึง +1 มันสร้างทั้งเส้นโค้งเรียบและเสียงรบกวนที่เป็นแบบสุ่มแต่ละตัวอย่าง	Làm cho một làn sóng bất thường mà không bao giờ lặp lại, với giá trị xấp xỉ trong khoảng -1 đến +1. Nó tạo ra cả đường cong mượt mà và tiếng ồn đó là ngẫu nhiên mỗi mẫu.	+1 내지 -1에 약 값으로 반복하지 불규칙한 파를 만든다. 각 샘플을 랜덤 부드러운 곡선 및 노이즈 모두를 생성한다.	يجعل موجة غير النظامية التي يكرر أبدا، مع القيم تقريبا في حدود -1 إلى +1. فهو يولد كل من منحنيات ناعمة والضجيج الذي هو عشوائي كل عينة.
CHOP Null	Is used as a place-holder and does not alter the data coming in. It is often used to Export channels to parameters, which allows you to experiment with the CHOPs that feed into the Null without having to un-export from one CHOP and re-export from another.	用作佔位符並且不會改變輸入的數據。它通常用於將通道導出到參數，這允許您試驗提供給Null的CHOP而無需從一個CHOP取消導出 - 從另一個出口。	これは、プレースホルダーとして使用され、入力データを変更することはありません。チャンネルをパラメーターにエクスポートするためによく使用されます。これにより、1つのCHOPからアンエクスポートして再エクスポートする必要なくNullにフィードするCHOPを試すことができます。他からの輸出。	Est utilisé comme lieu porte et ne modifie pas les données arrivent. Il est souvent utilisé pour exporter des canaux aux paramètres, qui vous permet d'expérimenter avec les côtes qui alimentent le nul sans avoir à un-export d'un CHOP et re -EXPORT d'un autre.	Используются в качестве места держателя и не изменяет данные, поступающими в системе. Он часто используются для экспорта каналов параметров, что позволяет экспериментировать с отбивными, которые питаются в Null без ун-экспорт из одного ЧОПА и повторно -export от другого.	Se utiliza como un lugar titular y no altera los datos que entran. A menudo se utiliza para exportar canales de parámetros, lo que le permite experimentar con las chuletas que se alimentan en el nulo y sin tener que ONU-exportación de un CHOP y re -export de otro.	Als Platzhalter verwendet und verändert nicht die Daten auf mich warten. Es wird häufig verwendet, Kanäle Parameter zu exportieren, die Sie mit dem Koteletts experimentieren kann, die von einer CHOP und wieder, ohne dass un-Export in die Null-Feed -export von einem anderen.	È usato come segnaposto e non altera i dati in arrivo. E 'spesso usato per esportare i canali ai parametri, che consente di sperimentare con le costolette che alimentano il Null senza dover ONU-export da un CHOP e ri -EXPORT da un altro.	Estas uzata kiel loko-posedanto kaj ne ŝanĝas la datumojn eniranta. Ĝi estas ofte uzata por Eksporti kanalojn al parametroj, kiu ebligas al vi eksperimenti kun la kotletojn kiuj nutras en la Nula sen devi un- eksportado de unu kotleton kaj re -export de alia.	จะถูกใช้เป็นสถานที่ที่ผู้ถือและไม่ได้แก้ไขข้อมูลเข้ามา. มันมักจะถูกนำมาใช้เพื่อการส่งออกช่องทางในการพารามิเตอร์ซึ่งจะช่วยให้คุณทดสอบกับสับที่ป้อนเข้าสู่ Null โดยไม่ต้องยกเลิกการส่งออกจาก CHOP และอีกครั้ง ส่งออกจากที่อื่น	Được sử dụng như là một nơi-giữ và không làm thay đổi dữ liệu đến ở. Nó thường được dùng để xuất khẩu các kênh truyền thông số, cho phép bạn thử nghiệm với các sườn mà ăn vào Null mà không cần phải bỏ xuất khẩu từ một CHOP và tái -Xuất từ ​​khác.	장소 홀더로 사용되며 데이터가오고 변경하지 않습니다. 종종 매개 변수에 채널을 내보내기하는 데 사용됩니다, 당신은 하나의 CHOP 다시에서 해제 수출하지 않고 널에 먹이 턱을 실험 할 수있는 서로 -export.	يستخدم كمكان حامل ولا يغير البيانات القادمة. وغالبا ما يستخدم لتصدير القنوات لالمعلمات، والذي يسمح لك تجربة مع القطع التي تغذي اغية دون الحاجة إلى برنامج الأمم المتحدة للتصدير من ختم واحد وإعادة تصدير من آخر.
CHOP Oculus Rift	Connects to an Oculus Rift device and outputs several useful sets of channels that can be used to integrate the Oculus Rift into projects.	連接到Oculus Rift設備並輸出幾組有用的通道，可用於將Oculus Rift集成到項目中。	Oculus Riftデバイスに接続し、Oculus Riftをプロジェクトに統合するために使用できるいくつかの便利なチャンネルのセットを出力します。	Se connecte à un dispositif Rift Oculus et émet plusieurs ensembles de canaux utiles qui peuvent être utilisés pour intégrer le Oculus Rift dans les projets.	Подключение к устройству Окулюс Рифт и выводит несколько полезных наборов каналов, которые могут быть использованы для интеграции Oculus Рифт в проекты.	Se conecta a un dispositivo de Oculus Rift y da salida a varios conjuntos útiles de canales que se pueden utilizar para integrar el Oculus Rift en proyectos.	Eine Verbindung zu einem Oculus Rift Vorrichtung und gibt mehrere nützliche Sätze von Kanälen, die verwendet werden können die Oculus Rift in Projekte zu integrieren.	Collega ad un dispositivo Oculus Rift ed emette diverse serie utili di canali che possono essere utilizzati per integrare l'Oculus Rift in progetti.	Konektas al Oculus Rift aparato kaj eligas plurajn utilajn aroj de kanaloj kiuj povas esti uzitaj por integri la Oculus Rift en projektoj.	เชื่อมต่อกับอุปกรณ์ Oculus Rift และผลชุดที่มีประโยชน์หลายช่องทางที่สามารถนำมาใช้เพื่อบูรณาการ Oculus Rift ในโครงการ	Kết nối với một thiết bị Oculus Rift và kết quả đầu ra một số bộ hữu ích của các kênh truyền hình có thể được sử dụng để tích hợp các Oculus Rift vào các dự án.	오큘 러스 리프트 장치에 연결 프로젝트에 오큘 러스 리프트를 통합 할 수있는 채널의 몇몇 유용한 세트를 출력한다.	يربط إلى جهاز كوة المتصدع وإخراج عدة مجموعات مفيدة من القنوات التي يمكن استخدامها لدمج كوة المتصدع في المشاريع.
CHOP Audio Oscillator	Generates sounds in three ways. It repeats common waveforms (sine, triangle), it generates white noise (a random number for each sample), or it repeats a prepared incoming audio clip of any duration.	以三種方式生成聲音。它重複常見的波形（正弦波，三角波），產生白噪聲（每個樣本的隨機數），或重複任何持續時間的準備輸入音頻片段。	3つの方法で音を出します。それは一般的な波形（正弦波、三角波）を繰り返すか、ホワイトノイズ（各サンプルのための乱数）を生成するか、または任意の期間の準備された入ってくるオーディオクリップを繰り返します。	Génère des sons de trois façons. Il répète les formes d'ondes communes (sinus, triangle), il génère un bruit blanc (un nombre aléatoire pour chaque échantillon), ou il répète un clip audio entrant préparé selon l'une quelconque durée.	Формирует звуки тремя способами. Она повторяет общие формы сигналов (синус, треугольник), он генерирует белый шум (случайное число для каждого образца), или он повторяет подготовленный входящий звуковой клип любой продолжительности.	Genera sonidos de tres maneras. Se repite formas de onda comunes (seno, triángulo), genera ruido blanco (un número aleatorio para cada muestra), o se repite un clip de audio entrante preparada de cualquier duración.	Erzeugt Klänge auf drei Arten. Es wiederholt gemeinsame Wellenformen (Sinus, Dreieck), er erzeugt weißes Rauschen (eine Zufallszahl für jede Probe), oder er wiederholt einen bereit eingehenden Audioclip beliebiger Dauer.	Genera suoni in tre modi. Ripete forme d'onda comuni (seno, triangolo), genera rumore bianco (un numero casuale per ogni campione), oppure ripete una clip audio in entrata preparato di qualsiasi durata.	Generas sonojn en tri manieroj. Ĝi ripetas komunaj formoj de ondo (sinuso, triangulo), ĝi generas blanka bruo (hazarda por ĉiu specimeno), aŭ ĝi ripetas preta alvenanta sonregistraĵo de ajna daŭro.	สร้างเสียงในสามวิธี มันซ้ำรูปคลื่นที่พบบ่อย (ไซน์สามเหลี่ยม) ก็สร้างเสียงสีขาว (จำนวนสุ่มสำหรับแต่ละตัวอย่าง) หรือมันซ้ำเตรียมคลิปเสียงที่เข้ามาของระยะเวลาใด ๆ	Tạo ra âm thanh theo ba cách. Nó lặp lại dạng sóng chung (sin, tam giác), nó tạo ra tiếng ồn trắng (một số ngẫu nhiên cho mỗi mẫu), hoặc nó lặp đi lặp lại một clip âm thanh chuẩn bị đến thời hạn bất kỳ.	세 가지 방법으로 소리를 생성합니다. 그것은 백색 잡음 (각 샘플 난수)을 생성하고, 공통 파형 (사인파, 삼각형)를 반복하거나, 어떤 기간의 준비된 입력 오디오 클립을 반복한다.	يولد الأصوات في ثلاث طرق. وهو يكرر الطول الموجي المشتركة (جيب، مثلث)، فإنه يولد الضوضاء البيضاء (رقم عشوائي لكل عينة)، أو أنه يكرر استعداد مقطع صوتي واردة في أي مدة.
CHOP Out	Sends CHOP data from inside a components to other components or CHOPs. It sends channels to one of the outputs of the component.	將CHOP數據從組件內部發送到其他組件或CHOP。它將通道發送到組件的其中一個輸出。	コンポーネントの内部から他のコンポーネントまたはCHOPにCHOPデータを送信します。コンポーネントの出力の1つにチャンネルを送ります。	Envoie des données à l'intérieur d'un CHOP composants à d'autres composants ou des côtelettes. Il envoie des canaux à l'une des sorties du composant.	Посылает данные CHOP изнутри компонентов к другим компонентам или отбивные. Он посылает каналы к одному из выходов компоненты.	Envía datos CHOP desde el interior de un componentes a otros componentes o las chuletas. Se envía canales para una de las salidas del componente.	CHOP sendet Daten aus dem Innern einer Komponente auf andere Komponenten oder Koteletts. Es sendet Kanäle zu einem der Ausgänge des Bauteils.	Invia i dati CHOP dall'interno a componenti ad altri componenti o baffi. Invia canali per una delle uscite del componente.	Sendas hakas datumoj de ene de eroj al aliaj komponantoj aŭ kotletojn. Ĝi sendas kanalojn al unu el la eliroj de la komponanto.	ส่งข้อมูล CHOP จากภายในส่วนประกอบส่วนประกอบอื่น ๆ หรือสับ มันจะส่งช่องทางหนึ่งในผลของส่วนประกอบ	Gửi dữ liệu CHOP từ bên trong một thành phần cho các thành phần hoặc sườn khác. Nó sẽ gửi các kênh truyền hình với một trong những kết quả đầu ra của các thành phần.	다른 구성 요소 또는 구성 요소로 절단 내부에서 CHOP 데이터를 전송한다. 이는 구성 요소의 출력을 하나의 채널을 송신한다.	يرسل بيانات CHOP من داخل مكونات المكونات أو القطع الأخرى. يرسل القنوات لأحد مخرجات المكون.
CHOP Override	Lets you take inputs from several CHOP sources, and uses the most-recently changed input channels to determine the output.	允許您從多個CHOP源獲取輸入，並使用最近更改的輸入通道來確定輸出。	複数のCHOPソースから入力を受け取り、最後に変更された入力チャンネルを使って出力を決定します。	vous permet de prendre des entrées de plusieurs sources CHOP, et utilise les canaux d'entrée le plus récemment changé pour déterminer la sortie.	Позволяет принимать сигналы от нескольких источников CHOP, и использует наиболее недавно измененные входные каналы для определения выхода.	Le permite tomar las entradas de varias fuentes CHOP, y utiliza los canales de entrada más recientemente modificado para determinar la salida.	Hier können Sie Eingaben von mehreren CHOP Quellen nehmen und verwendet die am meisten kürzlich geändert Eingangskanäle den Ausgang zu bestimmen.	Consente di scattare ingressi da diverse fonti CHOP, e utilizza i canali di ingresso più di recente cambiato a determinare la potenza.	Permesas preni enigoj de pluraj hakas fontoj, kaj uzas la plej-ĵus ŝanĝis enigo kanalojn por determini la produktadon.	ช่วยให้คุณใช้ปัจจัยการผลิตจากแหล่ง CHOP หลายและใช้ช่องสัญญาณการเปลี่ยนแปลงมากที่สุดเมื่อเร็ว ๆ นี้เพื่อตรวจสอบการส่งออก	Cho phép bạn chụp đầu vào từ nhiều nguồn CHOP, và sử dụng các kênh đầu vào gần đây nhất đã thay đổi để xác định đầu ra.	여러 CHOP 소스로부터 입력을 할 수 있으며 출력을 결정하기 위해 가장 최근에 변경된 입력 채널을 사용합니다.	يتيح لك اتخاذ مدخلات من عدة مصادر CHOP، ويستخدم قنوات الإدخال تغيرت الأكثر مؤخرا لتحديد الإخراج.
CHOP Parameter	Gets parameter values, including custom parameters, from all OP types. ( In Build 46000 or later . This replaces the Fetch CHOP.	從所有OP類型獲取參數值，包括自定義參數。 （在Build 46000或更高版本中。這將取代Fetch CHOP。	すべてのOP型からカスタムパラメータを含むパラメータ値を取得します。 （ビルド46000以降の場合。これはFetch CHOPに代わるものです。	Obtient les valeurs des paramètres, y compris les paramètres personnalisés, de tous les types de OP. (Build 46000 ou version ultérieure. Cela remplace le Fetch CHOP.	Получает значение параметров, включая пользовательские параметры, от всех типов ОП. (В сборке 46000 или более поздней версии. Это заменяет Fetch CHOP.	Obtiene valores de los parámetros, incluyendo los parámetros personalizados, de todos los tipos de OP. (En Build 46000 o posterior. Esto reemplaza el CHOP Fetch.	Ruft Parameterwerte, einschließlich benutzerdefinierte Parameter, von allen OP-Typen. (In Build 46000 oder höher. Dies ersetzt die CHOP holen.	Ottiene i valori dei parametri, inclusi i parametri personalizzati, da tutti i tipi OP. (In Build 46000 o poi. Questo sostituisce il Fetch CHOP.	Ricevas parametron valoroj, inkluzive de kutimo parametroj, de ĉiuj OP tipoj. (En Konstruo 46000 aŭ poste. Tiu anstataŭigas la Fetch kotleton.	ได้รับค่าพารามิเตอร์รวมทั้งพารามิเตอร์ที่กำหนดเองจากทุกประเภท OP (ในการสร้าง 46000 หรือในภายหลัง. นี้แทนที่การดึงข้อมูล CHOP	Gets giá trị tham số, bao gồm các thông số tùy chỉnh, từ tất cả các loại OP. (Trong Build 46000 hay muộn. Này thay thế Fetch CHOP.	모든 OP 유형에서 사용자 정의 매개 변수를 포함하여 매개 변수 값을 가져옵니다. (빌드 46000 이상에서. 이것은이 CHOP 가져 오기 대체합니다.	يحصل قيم المعلمات، بما في ذلك المعلمات المخصصة، من جميع أنواع OP. (في بناء 46000 أو في وقت لاحق. يستبدل هذا إحضار CHOP.
CHOP Audio Para EQ	(parametric equalizer ) applies up to 3 parametric filters to the incoming sound. The three filters are in series, where internally, the second filter takes its input from the output of the first filter, and so on.	（參數均衡器）最多可為入射聲音應用3個參數濾波器。三個濾波器串聯，其中內部，第二個濾波器從第一個濾波器的輸出獲取其輸入，依此類推。	（パラメトリックイコライザー）は入ってくる音に最大3つのパラメトリックフィルターを適用します。 3つのフィルタは直列に接続されています。内部では、2番目のフィルタが最初のフィルタの出力から入力を取得するというように続きます。	(Égaliseur paramétrique) applique jusqu'à 3 filtres paramétriques au son entrant. Les trois filtres sont en série, où à l'intérieur, le second filtre prend son entrée depuis la sortie du premier filtre, et ainsi de suite.	(Параметрический эквалайзер) применяется до 3-х параметрических фильтров для входящего звука. Три фильтров в серии, где внутри, второй фильтр принимает входные данные с выхода первого фильтра, и так далее.	(Ecualizador paramétrico) se aplica hasta 3 filtros paramétricos con el sonido entrante. Los tres filtros están en serie, donde internamente, el segundo filtro toma su entrada de la salida del primer filtro, y así sucesivamente.	(Parametrischer Entzerrer) gilt für den ankommenden Ton zu 3 parametrischen Filter auf. Die drei Filter sind in Reihe geschaltet, wobei im Innern, der zweite Filter seinen Eingang von dem Ausgang des ersten Filters führt, und so weiter.	(Equalizzatore parametrico) applica fino a 3 filtri parametrici per il suono in arrivo. I tre filtri sono in serie, dove internamente, il secondo filtro prende l'input dal uscita del primo filtro, e così via.	(Parametra ekvalizilo) validas ĝis 3 parametra filtrilojn al la alvenanta sono. La tri filtriloj estas en serioj, kie interne, la dua filtrilo prenas sian enigo de la produktado de la unua filtrilo, kaj tiel plu.	(ควอไลเซอร์พารา) มีผลบังคับใช้ถึง 3 ฟิลเตอร์พาราเพื่อเสียงที่เข้ามา ฟิลเตอร์ทั้งสามอยู่ในชุดที่ภายในตัวกรองที่สองจะเข้ามาจากการส่งออกของตัวกรองแรกและอื่น ๆ	(Equalizer tham số) áp dụng lên đến 3 bộ lọc tham số cho âm thanh đến. Ba bộ lọc nằm trong series, nơi nội bộ, bộ lọc thứ hai có đầu vào từ đầu ra của bộ lọc đầu tiên, và vân vân.	(파라 메트릭 이퀄라이저) 들어오는 소리 3 개 파라 메트릭 필터까지 적용된다. 세 필터는 내부적으로 제 2 필터는 그래서 제 1 필터의 출력으로부터의 입력을 받아, 시리즈에있다.	(حدودي التعادل) ينطبق تصل إلى 3 مرشحات حدودي على صوت واردة. المرشحات الثلاث في السلسلة، حيث داخليا، المرشح الثاني يأخذ مدخلاته من إخراج الفلتر الأول، وهلم جرا.
CHOP Pattern	Generates a sequence of samples in a channel. Unlike the Wave CHOP its purpose is generating arrays of samples that have no reference to time (seconds or frames).	在通道中生成一系列樣本。與Wave CHOP不同，它的目的是生成不參考時間（秒或幀）的樣本數組。	チャンネル内のサンプルのシーケンスを生成します。 Wave CHOPとは異なり、その目的は時間（秒またはフレーム）を参照しないサンプルの配列を生成することです。	Génère une séquence d'échantillons dans un canal. Contrairement à la vague CHOP son but est de générer des tableaux d'échantillons sans référence au temps (secondes ou en images).	Создает последовательность выборок в канале. В отличие от Wave CHOP его цель генерации массивов образцов, которые не имеют никакого отношения к времени (секунды или кадры).	Genera una secuencia de muestras en un canal. A diferencia de la CHOP Wave su propósito es la generación de matrices de muestras que no tienen ninguna referencia al tiempo (segundos o fotogramas).	Erzeugt eine Folge von Proben in einem Kanal. Im Gegensatz zu der Welle CHOP wird seinen Zweck Arrays von Proben zu erzeugen, die keinen Bezug auf die Zeit (Sekunden oder Frames).	Genera una sequenza di campioni in un canale. Diversamente l'onda CHOP suo scopo sta generando matrici di campioni che non hanno riferimento al tempo (secondi o fotogrammi).	Generas sekvencon de specimenoj en kanalo. Kontraste la Ondo hakas ĝia celo estas produktanta tabeloj de specimenoj kiuj havas referenco al tempo (sekundoj aŭ kadrojn).	สร้างลำดับของกลุ่มตัวอย่างในช่อง ซึ่งแตกต่างจากคลื่น CHOP จุดประสงค์ของมันคือการสร้างอาร์เรย์ของกลุ่มตัวอย่างที่ไม่มีการอ้างอิงถึงเวลา (วินาทีหรือเฟรม)	Tạo ra một chuỗi các mẫu trong một kênh. Không giống như Wave CHOP mục đích của nó là tạo ra mảng các mẫu mà không có tham chiếu đến thời gian (giây hoặc khung).	채널에서 샘플들의 시퀀스를 생성한다. 웨이브 CHOP 달리 그 목적은 시간 (초 프레임)에 대한 언급이없는 샘플의 어레이를 생성한다.	يولد سلسلة من العينات في القناة. على عكس الموجة CHOP الغرض منه هو توليد صفائف من العينات التي لديها أي إشارة إلى الوقت (ثانية أو الإطارات).
CHOP Perform	Outputs many channels like frames-per-second, describing the current state of the TouchDesigner process.	輸出許多通道，如每秒幀數，描述TouchDesigner進程的當前狀態。	TouchDesignerプロセスの現在の状態を記述した、1秒あたりのフレーム数のような多くのチャンネルを出力します。	Sorties de nombreux canaux comme images par seconde, décrivant l'état actuel du processus TouchDesigner.	Выходы, как много каналов кадров в секунду, описывающих текущее состояние процесса TouchDesigner.	Salidas muchos canales como cuadros por segundo, que describen el estado actual del proceso de TouchDesigner.	Ausgänge viele Kanäle wie Frames pro Sekunde, den aktuellen Zustand des Prozesses beschreiben Touch.	Uscite molti canali come fotogrammi al secondo, che descrivono lo stato attuale del processo TouchDesigner.	Eliroj multajn kanalojn kiel kadrojn-por-dua, kiu priskribas la nunan staton de la TouchDesigner procezo.	ขาออกหลายช่องทางเช่นเฟรมต่อวินาทีอธิบายสถานะปัจจุบันของกระบวนการ TouchDesigner	Kết quả đầu ra nhiều kênh như khung hình mỗi giây, mô tả tình trạng hiện thời của quá trình TouchDesigner.	초당 프레임의 TouchDesigner 프로세스의 현재 상태를 설명하는 등 많은 출력 채널.	المخرجات قنوات كثيرة مثل إطارات في الثانية، واصفا الوضع الحالي لعملية TouchDesigner.
CHOP Pipe In	Allows users to input from custom devices into CHOPs. It is implemented as a TCP/IP network connection.	允許用戶從自定義設備輸入CHOP。它實現為TCP / IP網絡連接。	ユーザーがカスタムデバイスからCHOPに入力できるようにします。 TCP / IPネットワーク接続として実装されています。	Permet aux utilisateurs d'entrer à partir de périphériques personnalisés dans les babines. Il est mis en œuvre comme une connexion réseau TCP / IP.	Позволяет пользователям вводить от пользовательских устройств в отбивные. Он реализуется как соединение TCP / IP сети.	Permite a los usuarios de dispositivos de entrada personalizados en chuletas. Se implementa como una conexión de red TCP / IP.	Ermöglicht Benutzern die Eingabe von benutzerdefinierten Geräten in Koteletts. Es wird als eine TCP / IP-Netzwerkverbindung realisiert.	Consente agli utenti di inserire da dispositivi personalizzati in braciole. Si è implementato come una connessione di rete TCP / IP.	Permesas al uzantoj enigo de kutimo aparatoj en kotletojn. Ĝi estas implementado kiel TCP / IP reto konekton.	ช่วยให้ผู้ใช้ป้อนข้อมูลจากอุปกรณ์ที่กำหนดเองลงสับ มันถูกนำมาใช้เป็นการเชื่อมต่อเครือข่าย TCP / IP	Cho phép người dùng nhập vào từ các thiết bị tùy chỉnh vào sườn. Nó được thực hiện như một kết nối mạng TCP / IP.	갈비에 사용자 정의 장치로부터의 입력에 사용자를 할 수 있습니다. 그것은 TCP / IP 네트워크 연결로 구현됩니다.	يسمح للمستخدمين لإدخال من أجهزة مخصصة في القطع. ويتم تنفيذ ذلك كاتصال شبكة TCP / IP.
