CHOP Analyze	查看通道的所有值的值，並將單個數字結果輸出到輸出中。
CHOP Logic	首先將其所有輸入CHOP的通道轉換為二進制（0 =關，1 =開）通道，然後使用各種邏輯運算組合通道。
CHOP Lookup	從查找表輸出值。第一個輸入（索引通道）是第二個輸入（查找表）的索引。
CHOP LTC In	讀取編碼為音頻信號的SMPTE時間碼數據。閱讀概述線性時間碼。首先使用CHOP中的音頻設備將音頻信號帶入CHOP。
CHOP LTC Out	輸出“線性時間碼”，它是編碼為音頻信號的SMPTE時間碼數據。另請參見線性時間碼。
CHOP Math	對通道執行算術運算。 CHOP的通道可以組合成一個通道，並且幾個CHOP可以組合成一個CHOP。
CHOP Merge	獲取多個輸入並將它們合併到輸出中。輸入的所有通道都出現在輸出中。
CHOP MIDI In	從MIDI設備和文件中讀取音符事件，控制器事件，程序變更事​​件，系統專用消息和定時事件。
CHOP MIDI In Map	首先參見MIDI In DAT。 MIDI In Map CHOP從MIDI設備映射器讀取指定的通道，準備從s1，s2等開始的滑塊通道。
CHOP MIDI Out	當MIDI輸入通道發生變化時，將MIDI事件發送到任何可用的MIDI設備。更靈活的是，Python MidioutCHOP Class可用於通過現有的MIDI Out CHOP將任何類型的MIDI事件發送到MIDI設備。
CHOP Mouse In	輸出鼠標設備的X和Y屏幕值，並監視三個鼠標按鈕的上/下狀態。
CHOP NatNet In	NatNet In CHOP。
CHOP Noise	產生一個永不重複的不規則波，其值大約在-1到+1的範圍內。它產生平滑的曲線和每個樣本隨機的噪聲。
CHOP Null	用作佔位符並且不會改變輸入的數據。它通常用於將通道導出到參數，這允許您試驗提供給Null的CHOP而無需從一個CHOP取消導出 - 從另一個出口。
CHOP Oculus Rift	連接到Oculus Rift設備並輸出幾組有用的通道，可用於將Oculus Rift集成到項目中。
CHOP Audio Oscillator	以三種方式生成聲音。它重複常見的波形（正弦波，三角波），產生白噪聲（每個樣本的隨機數），或重複任何持續時間的準備輸入音頻片段。
CHOP Out	將CHOP數據從組件內部發送到其他組件或CHOP。它將通道發送到組件的其中一個輸出。
CHOP Override	允許您從多個CHOP源獲取輸入，並使用最近更改的輸入通道來確定輸出。
CHOP Parameter	從所有OP類型獲取參數值，包括自定義參數。 （在Build 46000或更高版本中。這將取代Fetch CHOP。
CHOP Audio Para EQ	（參數均衡器）最多可為入射聲音應用3個參數濾波器。三個濾波器串聯，其中內部，第二個濾波器從第一個濾波器的輸出獲取其輸入，依此類推。
CHOP Pattern	在通道中生成一系列樣本。與Wave CHOP不同，它的目的是生成不參考時間（秒或幀）的樣本數組。
CHOP Perform	輸出許多通道，如每秒幀數，描述TouchDesigner進程的當前狀態。
CHOP Pipe In	允許用戶從自定義設備輸入CHOP。它實現為TCP / IP網絡連接。
CHOP Pipe Out	可用於使用網絡連接將數據從TouchDesigner傳輸到遠程計算機上運行的其他進程。
CHOP Pulse	以固定間隔在一個通道中生成脈衝。可以使用CHOP滑塊或圖形上的手柄編輯每個脈衝的幅度。
CHOP RealSense	從英特爾的RealSense相機接收位置數據。另請參見RealSense TOP適用於50000或更高版本。
CHOP Record	使通道進入第一個（位置）輸入，在內部轉換並記錄它們，並將存儲的通道輸出為CHOP輸出。
CHOP Rename	重命名頻道。輸入CHOP中的通道名稱使用From模式進行匹配，並在To模式中重命名為相應的名稱。
CHOP Reorder	通過數字或字母模式重新排序第一個輸入CHOP的通道。通道模式指定新訂單，或數字序列指定新訂單。
CHOP Replace	可用於非常快速地替換通道。如果Input2中存在匹配的通道，則Input1中的通道輸出將被Input2中的通道替換。
CHOP Resample	將輸入通道重新採樣為新的採樣率和/或開始/結束間隔。在所有情況下，重新採樣整個輸入間隔以匹配輸出間隔。
CHOP Script	每次Script CHOP烹飪時運行一個腳本。默認情況下，腳本CHOP是使用包含三種Python方法的停靠DAT創建的：cook，onPulse和setupParameters。
CHOP Select	從任何CHOP網絡的其他CHOP中選擇和重命名頻道。您可以從控制面板小工具（如滑塊和按鈕）中選擇通道。
CHOP Shared Mem In	僅適用於TouchDesigner Commercial和Pro。 CHOP中的共享內存從共享內存段接收CHOP，該共享內存段在另一個進程或同一進程中連接到共享內存CHOP。
CHOP Shared Mem Out	Shared Mem Out TOP僅適用於TouchDesigner Commercial和Pro。共享內存CHOP將CHOP發送到共享內存段，該共享內存段在另一個進程或同一進程中連接到CHOP中的共享內存。
CHOP Shift	時移CHOP，改變CHOP間隔的開始和結束。但是，頻道的內容保持不變。
CHOP Shuffle	在一組通道中重新組織樣本。將SOP接收的數據轉換為CHOP和TOP轉換為CHOP到僅包含一行或一列的通道非常有用。
CHOP Slope	計算輸入通道的斜率（或數學說話中的“導數”）。如果輸入CHOP表示位置，則斜率可以解釋為速度。
CHOP Sort	按值或隨機重新排序輸入通道樣本。指定要排序的通道將根據新訂單重新排序所有剩餘通道樣本。
CHOP Audio Spectrum	計算並顯示輸入通道的頻譜。在默認的可視化模式中，CHOP設置為通過強調較高頻率級別和較低頻率範圍以更易理解的方式顯示頻譜。
CHOP Speed	在一個時間範圍內將速度（每秒單位）轉換為距離（單位）。更一般地說，你給它一個速率（CHOP輸入）並輸出一個累積值。
CHOP Spring	產生受輸入通道影響的振動，就像質量附著在彈簧上一樣。對於每個通道，它的作用就像是彈簧末端有質量，受實際位置（前一幀通道輸出）到所需位置（當前輸入通道）的距離影響幀）。
CHOP Stretch	保留通道的形狀和採樣率，但將通道重新採樣為新的間隔。
CHOP Switch	允許您通過CHOPnet控制通道流。它按索引選擇一個輸入CHOP並完全複製它。
CHOP Timer	是用於運行定時進程的引擎。它輸出定時分數，計數器，脈沖和定時器狀態等通道，並在發生各種定時事件時調用python函數（回調）。
CHOP Timeline	輸出特定組件的基於時間的CHOP通道。時間通道由時間組件定義，其路徑可以使用表達式timepath（）來確定。
CHOP Time Slice	輸出樣本的時間片。當TouchDesigner無法快速烹飪/繪製並且跟上每秒動畫的幀數時，它用於生成平滑的中間。
CHOP Trail	及時顯示其輸入通道的歷史記錄。從當前幀開始顯示時間窗口，該窗口的大小由窗口長度參數設置。
CHOP Transform	進行平移，旋轉和/或縮放通道，並使用CHOP中的變換參數對其進行變換。
CHOP Trigger	為輸入通道中的所有觸發脈衝啟動音頻類型的攻擊/衰減/延音/釋放（ADSR）包絡。
CHOP Trim	縮短或延長輸入通道。可以保留或刪除部分間隔。如果通道被延長，通道的擴展條件將用於獲取新值。
CHOP Warp	使用第二個輸入（Warp曲線）中的一個變形通道對第一個輸入（Pre-Warp Channels）的通道進行時間扭曲。
CHOP Wave	製作各種形狀的重複波浪。它默認為10秒的1秒正弦波，總共600幀。
CHOP Audio Device Out	使用DirectSound或ASIO將音頻發送到任何連接的音頻輸出設備。音頻通道可以路由到任何揚聲器位置。
CHOP Audio File In	從磁盤上的文件或http：//地址讀取音頻。支持文件類型.mp3，.aif，.aiff，.au和.wav文件。
CHOP Audio Movie	播放用TOP中的電影文件播放的電影文件的音頻。通過電影文件在TOP參數中將音頻電影TOP指向TOP中的電影文件。
CHOP Audio Play	使用DirectSound通過任何連接的音頻輸出設備播放聲音文件。它支持.aif ,.
CHOP Audio SDI In	是僅限TouchDesigner Pro的操作員。音頻SDI在CHOP中可以從任何SDI IN TOP中捕獲音頻。
CHOP Clip	是僅限TouchDesigner Pro的操作員。看到。
CHOP Clip Blender	是僅限TouchDesigner Pro的操作員。它可以用作動畫系統，在不同的動畫片段之間進行融合，保持旋轉，改變目標位置等。
CHOP CPlusPlus	允許您通過使用C ++編寫自己的.dll來創建自定義CHOP運算符。注意：CPlusPlus CHOP僅適用於TouchDesigner Commercial和TouchDesigner Pro。
CHOP Handle	是使用Handle COMP驅動Inverse Kinematic解決方案的“引擎”。 Handle CHOP的作用是為骨骼生成旋轉值，使其附加的手柄盡可能靠近各自的目標。
CHOP Inverse Curve	使用曲線對象計算骨骼對象的反向運動學模擬。反向曲線CHOP將拉伸和定位一組骨骼，以跟隨另一組對象（指南）定義的曲線。
CHOP Inverse Kin	計算Bone對象的反向運動學模擬。
CHOP Joystick	在任何遊戲控制器（操縱桿，遊戲控制器，驅動輪等）上輸出所有6個可能軸的值。
CHOP Keyframe	使用動畫COMP中的通道和鍵數據，以可選擇的採樣率（每秒幀數）創建樣本通道。
CHOP Mouse Out	強制使用傳入的CHOP通道從TouchDesigner驅動鼠標位置和按鈕狀態。
CHOP Object	比較兩個對象並輸出包含其原始或相對位置和方向的通道。
CHOP OSC In	用於接受開放聲音控制消息。 OSC In可用於接受來自符合Open Sound Control規範的第三方應用程序的消息（http：// www。
CHOP OSC Out	將所有輸入通道發送到指定的網絡地址和端口。每個通道名稱和相關數據一起傳輸到指定位置。
CHOP Panel	從Panel Components讀取面板值到CHOP通道。也可以使用panel（）表達式訪問面板值。
CHOP Render Pick	對渲染進行採樣（從Render TOP或Render Pass TOP）並從該特定拾取位置處的幾何體返回3D信息。
CHOP Scan	將SOP或TOP轉換為示波器或激光友好控制波。輸出通常在可聽範圍內，可通過音頻設備輸出CHOP直接聽到，或用於驅動示波器的X和Y偏轉器輸入，重新創建圖像。
CHOP Serial	用於通過外部端口進行串行通信，使用R​​S-232協議。這些端口通常是9針連接器，或新機器上的USB端口。
CHOP SOP to	使用幾何對象選擇將從中創建通道的SOP。通道是根據SOP的點屬性創建的，例如點位置的X，Y和Z.
CHOP Sync In	並且同步輸出CHOP用於在兩個或更多個TouchDesigner進程中保持時間線在彼此的單個幀內。
CHOP Sync Out	CHOP中的同步和同步輸出CHOP用於在兩個或更多個TouchDesigner進程內保持時間線在彼此的單個幀內。
CHOP Tablet	獲取Wacom數位板X和Y值，還可獲得筆尖壓力，X傾斜和Y傾斜以及各種筆按鈕。
CHOP TOP to	將TOP圖像中的像素轉換為CHOP通道。它在圖像和每個像素顏色元素（RGBA）中為每個掃描線（行）生成一個CHOP通道。
CHOP Touch In	可用於通過CHOP在兩個TouchDesigner進程之間創建高速連接。數據通過TCP / IP發送。
CHOP Touch Out	可用於在兩個TouchDesigner進程之間創建高速連接。數據通過TCP / IP發送。
CHOP Oculus Audio	使用Oculus Audio SDK獲取單聲道聲道，並為該聲音創建空間化立體聲對或聲道。
COMP Ambient Light	環境光組件控制給定場景中環境光的顏色和強度。
COMP Base	基礎組件沒有面板參數，也沒有3D對象參數。您可以將它用於沒有與之關聯的面板的組件，也可以用於任何3D，例如將RGB通道轉換為HSV通道的組件。
COMP Blend	混合組件允許各種效果，例如混合輸入，動畫組件的父級，排序，部分變換繼承，三點方向和其他效果。
COMP Bone	Bone Component是所有Character Tools的基礎。它是具有幾何組件的大多數屬性的組件。
COMP Camera	Camera Component是一個3D物體，其作用類似於真實世界的相機。您可以通過它查看場景並從它們的角度進行渲染。
COMP Camera Blend	相機混合組件通過將多個組件混合在一起來實現各種效果。它為您提供了一些設置父子關係的額外靈活性。
COMP Geometry	Geometry Component是一個3D表面，您可以在TouchDesigner中使用Render TOP查看和渲染。燈光，相機和其他組件會影響場景，但不是可見的曲面。
COMP Handle	Handle Component是一個新的IK工具，用於操縱骨骼組。雖然之前的IK工具僅允許每個骨鏈使用一個末端效應器，但這種新方法允許每個骨骼使用多個末端效應器。
COMP Light	燈光組件是將光投射到3D場景中的對象。使用燈光參數，您可以控制燈光照亮的幾何體的顏色，亮度和氛圍。
COMP Null	Null組件充當場景中的佔位符。它可用於轉換（平移，旋轉，縮放）附加到其上的組件。
COMP Shared Mem In	僅適用於TouchDesigner Commercial和Pro。 COMP中的Shared Mem將從共享內存塊中讀取轉換數據。
COMP Shared Mem Out	TOP中的Shared Mem僅適用於TouchDesigner Commercial和Pro。 Shared Mem Out COMP將轉換數據寫入共享內存塊。
COMP Animation	動畫組件是用於創建關鍵幀動畫通道的特殊組件。該組件包含一個預定義的網絡，利用Keyframe CHOP和許多表DAT來定義動畫CHOP通道。
COMP Button	按鈕組件用於面板中以提供交互式開/關按鈕，包括切換按鈕，瞬時按鈕和單選按鈕組或專用按鈕。
COMP Container	Container Component將任意數量的按鈕，滑塊，字段，容器和其他Panel Components組合在一起以構建界面。
COMP Field	Field Component允許您輸入文本字符串並呈現使用Text TOP生成的文本。在內部，它包含一個Text TOP，它指向包含要呈現的文本的DAT的一個單元格。
COMP List	List Component允許您通過List COMPs初始化和回調函數創建可高度自定義的大型列表。
COMP OP Viewer	OP Viewer Component允許任何操作員查看器（CHOP Viewer，SOP Viewer等）成為具有完全交互性的面板的一部分。
COMP Replicator	Replicator組件為表的每一行創建一個節點，創建節點（“replicants”）並在表更改時刪除它們。
COMP Select	選擇組件從任何其他位置選擇面板組件。這允許面板出現在多個其他面板中。
COMP Slider	滑塊組件允許您在X，Y和XY中構建滑塊，並從放置在Slider組件中的Panel CHOP輸出1或2個通道。
COMP Table	表組件創建用戶界面小工具網格。這些面板以網格格式佈局，其中每個單元的內容由DAT表定義。
COMP Time	時間組件允許每個組件具有自己的時間線（時鐘）。時間組件包含一個操作員網絡，可以驅動時間軸，在動畫COMP中驅動動畫，或用於驅動任何自定義的基於時間的系統。
COMP Window	Window Component允許您創建和維護一個單獨的浮動窗口，顯示任何Panel或任何其他Node Viewer的內容。
TOP Add	通過添加像素值將輸入圖像合成在一起。輸出= Input1 + Input2。如果總和超過1，它會箝制顏色通道。
TOP Analyze	拍攝任何圖像並確定其各種特徵，例如平均像素顏色或具有最大亮度的像素。
TOP Blob Track	使用OpenCV的源代碼實現，其中大部分都移植到GPU以獲得更快的性能。
TOP Blur	使用各種內核過濾器和半徑模糊圖像。它可以進行多次通過模糊，並且可以進行僅水平或僅垂直模糊。
TOP Cache	將一系列圖像存儲到GPU內存中。圖形卡可以比主存儲器中的圖像緩存快速讀取這些緩存的圖像，或者從磁盤讀取圖像。
TOP Cache Select	根據索引參數從Cache TOP中獲取圖像。這樣可以直接隨機訪問存儲在Cache TOP中的任何圖像。
TOP Channel Mix	允許將輸入RGBA通道混合到輸出的任何其他顏色通道。例如，輸入藍色通道中的像素可以添加到輸出的紅色通道中，加上或減去紅色參數藍色列中的數量。
TOP CHOP to	將CHOP通道置於TOP圖像中。通過將TOP的像素格式設置為32位浮點數，CHOP的完整32位浮點數轉換為32位浮點像素值。
TOP Chroma Key	使用“色相”，“飽和度”和“值”設置從圖像中拉出關鍵遮罩。如果像素落在所有三個設置的最小和最大參數之間，則它將包含在密鑰中。
TOP Circle	可用於生成圓，橢圓和N邊多邊形。形狀可以定制不同的尺寸，旋轉和定位。
TOP Composite	是一個多輸入TOP，它將為每個輸入執行複合操作。使用Composite參數頁面上的Operation參數選擇複合操作。
TOP Constant	分別設置紅色，綠色，藍色和alpha（r，g，b和a）通道。它通常用於創建純色TOP圖像。
TOP Convolve	使用包含數字係數的DAT表。對於每個像素，它通過將值乘以表中的相應係數，將其RGBA值與其相鄰像素的RGBA值組合，將結果相加。
TOP Corner Pin	可以執行兩個操作。 “提取”頁面允許您通過移動4個點來指定要使用的圖像的子部分。
TOP Crop	通過定義圖像左，右，底部和頂部邊緣的位置來裁剪圖像。圖像的裁剪部分被丟棄，從而降低了圖像的分辨率。
TOP Cross	基於Cross參數的值在兩個輸入圖像之間進行混合（在下面稱為Cross_value）。
TOP Cube Map	以立方體貼圖內部紋理格式構建紋理貼圖。它接受垂直交叉圖像，或立方體每側1個輸入。
TOP Difference	在其兩個輸入圖像上執行差異合成。
TOP Displace	將導致一個圖像被另一個圖像扭曲。 （Uo，Vo）的輸出圖像的像素通過使用第二輸入圖像（位移圖像）從源圖像的不同像素（Ui，Vi）獲得其RGBA值。
TOP DirectX In	將其他應用程序的DirectX紋理帶入TouchDesigner。此功能僅適用於Windows 7或更高版本，可通過DirectX共享資源功能訪問。
TOP DirectX Out	創建DirectX應用程序可以訪問的紋理，或者使用DirectX In TOP創建TouchDesigner的任何實例。
TOP Edge	查找圖像中的邊緣並突出顯示它們。對於每個像素，它查看相鄰像素處的值，並且差異大於閾值時，輸出的值更高。
TOP Emboss	創建圖像壓印在薄金屬片中的效果。圖像中的邊緣將顯示為凸起。
TOP Feedback	可用於在TOP中創建反饋效果。每當反饋被反饋時（通過設置旁路反饋參數= 1），反饋TOP的輸入圖像將被傳遞。
TOP Fit	使用Fit參數菜單中指定的方法將其輸入重新調整為在Common Page上設置的分辨率。
TOP Flip	將在X和/或Y中翻轉圖像。它還提供翻轉選項，將每行像素轉換為一列。
TOP GLSL	將GLSL著色器渲染為TOP圖像。使用Info DAT檢查著色器中的編譯錯誤。
TOP GLSL Multi	將GLSL著色器渲染為TOP圖像。它的參數和功能與之相同。
TOP HSV Adjust	使用色調，飽和度和值控制調整顏色值。如果更改Hue Offset，Saturation Multiplier和Value Multiplier而不更改任何其他參數，則將修改圖像中所有像素的顏色。
TOP HSV to RGB	將圖像從HSV顏色通道轉換為RGB顏色通道。
TOP Kinect	捕獲Kinect深度相機或RGB彩色相機的視頻。注意：此TOP適用於Kinect for Windows硬件並支持Kinect2。
TOP In	用於在Component中創建TOP輸入。組件輸入以字母數字的形式定位在組件的左側。
TOP Inside	將Input1'置於'Input2內。 Input2的alpha用於確定Input1圖像的哪些部分可見。
TOP Level	調整圖像對比度，亮度，伽瑪，黑電平，顏色範圍，量化，不透明度等。
TOP Leap Motion	從Leap Motion Controller的攝像頭獲取圖像。要啟用此功能，必須在Leap Motion控制面板中打開“允許圖像”選項。
TOP Lookup	將連接到其第一個輸入的TOP圖像中的顏色值替換為從第二個輸入或使用CHOP參數創建的查找表創建的查找表派生的值。
TOP Luma Blur	基於每個像素模糊圖像，取決於其第二輸入的亮度或灰度值。使用白色和黑色濾鏡尺寸的單獨參數模糊圖像，這些參數對應於第二輸入的白色和黑色亮度值。
TOP Luma Level	調整圖像亮度，伽瑪，黑電平，量化，不透明度等。它具有與Level TOP類似的參數，但是當您使用Gamma和Black Level時，它可以更準確地保持色調和飽和度。
TOP Math	對輸入圖像的像素執行特定的數學運算。
TOP Matte	使用input3的alpha通道作為遮罩，在input2上複合輸入1。 input3的alpha通道中的白色（一個）像素將在input2上繪製input1，黑色（或零）將使input1透明，將input2圖像留在該像素處。
TOP Monochrome	將圖像更改為灰度顏色。您可以選擇多種不同的方法，使用RGB和Alpha菜單將圖像轉換為灰度。
TOP Movie File In	將電影，靜止圖像或一系列靜止圖像加載到TOP中。它將以.jpg，.gif ,.讀取圖像。
TOP Multiply	對Input1和Input2執行乘法運算。
TOP Noise	產生各種噪聲模式，包括稀疏，鱷魚和隨機。它目前在CPU上運行並將其圖像傳遞給GPU。
TOP Normal Map	獲取輸入圖像並通過查找圖像中的邊緣來創建法線貼圖。然後可以將其用於凹凸貼圖（參見Phong MAT）。
TOP Null	對圖像沒有影響。它是連接到其輸入的TOP的實例。 Null TOP通常在引用TOP網絡時使用，允許將新TOP添加到網絡（上游），而無需更新引用。
TOP Out	用於在Component中創建TOP輸出。組件輸出以字母數字的形式定位在組件的右側。
TOP Outside	將Input1'放在'Input2之外。只要Input2的alpha <1，Input1在輸出中可見。這是與Inside TOP相反的操作。
TOP Over	將Input1'放在'Input2上。 Input1的alpha用於確定Input2圖像的哪些部分在結果中可見。
TOP Pack	注意：僅在構建48000或更高版本中。
TOP Photoshop In	可以將Photoshop CS6的輸出流式傳輸到TouchDesigner中。 Photoshop可以與TouchDesigner在同一台計算機上運行，也可以在網絡上的任何其他計算機上運行。
TOP Projection	拍攝使用渲染TOP創建的立方體貼圖並將其轉換為適合圓頂的魚眼投影，以及“equirectangular”投影，其中u-v是緯度 - 經度，適用於球體。
TOP Ramp	允許您以交互方式創建垂直，水平，徑向和圓形斜坡。使用漸變條和顏色選擇器，您可以根據需要為漸變添加任意數量的顏色選項卡，每個選項卡都有自己的顏色和alpha值。
TOP RealSense	連接到RealSense設備並從中輸出顏色，深度和IR數據。另請參見RealSense CHOP。
TOP Remap	使用第二個輸入扭曲第一個輸入。對於輸出的每個像素，它使用第二個輸入的紅色通道和綠色通道來選擇從第一個輸入中選擇哪個像素。
TOP Rectangle	可用於生成帶圓角的矩形。形狀可以定制不同的尺寸，旋轉和定位。
TOP Reorder	是一個多輸入TOP，可讓您選擇R，G，B和A輸出的任何輸入通道。它還提供了向任何輸出通道輸出一個，零或輸入亮度的選項。
TOP Resolution	更改TOP圖像的分辨率。這也可以在大多數其他TOP的公共頁面上完成。
TOP RGB to HSV	RGV到HSV TOP將圖像從RGB轉換為HSV色彩空間。 R通道變為Hue，G通道變為飽和，B通道變為Value。
TOP RGB Key	使用紅色，綠色和藍色通道設置從圖像中拉出一個鍵。如果像素落在所有三個設置的最小和最大參數之間，則它將包含在密鑰中。
TOP Screen	根據屏蔽層像素的亮度，使基礎圖層變亮。如果屏蔽像素為黑色，則看起來完全透明。
TOP Screen Grab	將主屏幕輸出變為TOP圖像。它可以在您工作時實時捕獲。
TOP SDI In	是僅限TouchDesigner Pro的操作員。 SDI In TOP使用NVIDIA的SDI採集卡將視頻幀直接捕獲到GPU內存中。
TOP SDI Select	SDI In TOP是僅限TouchDesigner Pro的操作員。 SDI Select TOP用於從Nvidia SDI Capture卡上的SDI In TOP中的2-4個輸入中選擇視頻。
TOP Select	允許您從TouchDesigner中的任何其他位置引用TOP。為了節省圖形內存，Select TOP創建TOP引用的實例。
TOP Shared Mem In	僅適用於TouchDesigner Commercial和Pro。 TOP中的Shared Mem將從共享內存塊中讀取圖像數據。
TOP Shared Mem Out	僅適用於TouchDesigner Commercial和Pro。 Shared Mem Out TOP將圖像數據寫入共享內存塊，供其他TouchDesigner進程或其他第三方應用程序使用。
TOP Slope	生成表示其值與其相鄰像素值之間差異的像素。
TOP Subtract	通過減去像素值將輸入圖像合成在一起。輸出=輸入1  - 輸入2。低於0的像素值被扼殺為0。
TOP Video Stream In	創建RTSP客戶端以通過網絡接收視頻和音頻。連接到RTSP服務器的URL格式為：rtsp：// <ipaddress>：<port> / <streamName> e。
TOP Spout Out	將與支持Spout框架的其他應用程序共享其輸入紋理。您可以在http：// spout下載Spout安裝包。
TOP Spout In	將通過支持Spout框架的其他應用程序的共享內存獲取其紋理圖像。
