path	/ui/dialogs/menu_op/summaries						
op	en	zh-TW	ja-JP	fr	ru	es	eo
CHOP Blend	Combines two or more CHOPs in input 2, 3 and so on, by using a set of blending channels in input 1. The blending channels cause different strengths of the CHOPs to contribute to the output of the CHOP.	通過在輸入1中使用一組混合通道，在輸入2,3等中組合兩個或更多個CHOP。混合通道導致CHOP的不同強度有助於CHOP的輸出。	入力1のブレンディングチャンネルのセットを使用して、入力2、3などの2つ以上のCHOPを結合します。ブレンディングチャンネルにより、異なる強さのCHOPがCHOPの出力に寄与します。	Combiner deux ou plusieurs côtelettes dans l'entrée 2, 3 et ainsi de suite, en utilisant un ensemble de canaux dans le mélange d'entrée 1. Les canaux de mélange provoquent différentes intensités des côtelettes de contribuer à la sortie du CHOP.	Объединение двух или более отбивные на входе 2, 3 и так далее, с помощью набора смешивания каналов во входном 1. Смешивание каналов вызывают различные сильные отбивные, чтобы внести свой вклад в выходе СНОР.	Combina dos o más chuletas en la entrada 2, 3 y así sucesivamente, mediante el uso de un conjunto de mezcla de canales en la entrada 1. Los canales de mezcla causar diferentes puntos fuertes de las chuletas para contribuir a la salida de la CHOP.	Kombinas du aŭ pli kotletojn en enigo 2, 3 ktp, uzante aron de miksado kanalojn en enigo 1. La miksado kanalojn kaŭzi malsamajn fortojn de la kotletojn por kontribui al la produktado de la kotleton.
CHOP Clock	Generates channels that reflect the time of year, month, week, day, hour, minute, second and millisecond.	生成反映年，月，週，日，小時，分鐘，秒和毫秒時間的頻道。	年、月、週、日、時、分、秒、ミリ秒を反映したチャンネルを生成します。	Canaux qui reflètent Génère la période de l'année, mois, semaine, jour, heure, minute, seconde et milliseconde.	Формирует каналы, которые отражают время года, месяц, неделя, день, час, минута, секунда и миллисекунды.	Genera canales que reflejan la época del año, mes, semana, día, hora, minuto, segundo y milisegundo.	Generas kanalojn kiuj reflektas la tempo de jaro, monato, semajno, tago, horo, minuto, dua kaj milisegundo.
CHOP Composite	Layers (blends) the channels of one CHOP on the channels of another CHOP. The first input is the base input and the second is the layer input.	在另一個CHOP的通道上層疊（混合）一個CHOP的通道。第一個輸入是基本輸入，第二個是層輸入。	あるCHOPのチャンネルを別のCHOPのチャンネルに重ねる（ブレンドする）。最初の入力はベース入力、2番目の入力はレイヤ入力です。	Les couches (mélanges) les canaux d'un CHOP sur les canaux d'une autre CHOP. La première entrée est l'entrée de base et la seconde est l'entrée de la couche.	Слои (купажи) каналы одного CHOP на каналах другого СНОР. Первый вход является базой ввода, а второй входной слой.	Capas (mezclas de) los canales de uno CHOP en los canales de otro CHOP. La primera entrada es la entrada de base y el segundo es la entrada de capa.	Tavoloj (miksaĵoj) la kanalojn de unu kotleton en la kanalojn de alia hakas. La unua eniro estas la bazo enigo kaj la dua estas la tavolo enigo.
CHOP Constant	Creates up to forty new constant-value channels. Each channel can be named and assigned a different value.	創建多達40個新的恆定價值渠道。每個通道都可以命名並分配不同的值。	最大40個の新しい定数値チャンネルを作成します。各チャンネルに名前を付けて異なる値を割り当てることができます。	Crée jusqu'à quarante nouveaux canaux à valeur constante. Chaque canal peut être nommé et attribué une valeur différente.	Создает до сорока новых каналов постоянного значения. Каждый канал может быть назван и присвоить другое значение.	Crea hasta cuarenta nuevos canales de valor constante. Cada canal puede ser nombrado y se le asigna un valor diferente.	Kreas ĝis kvardek nova konstanta valoro kanalojn. Ĉiu kanalo povas esti nomita kaj asignita malsama valoro.
CHOP Copy	Produces multiple copies of the second input along the timeline of the first input. The first input provides the trigger signals or the convolve levels.	沿第一個輸入的時間軸生成第二個輸入的多個副本。第一個輸入提供觸發信號或卷積電平。	最初の入力のタイムラインに沿って2番目の入力の複数のコピーを作成します。最初の入力はトリガ信号または畳み込みレベルを提供します。	Produit de multiples copies de la seconde entrée le long de la ligne de temps de la première entrée. La première entrée fournit les signaux de déclenchement ou les niveaux convolve.	Создает несколько копий второго входа вдоль временной шкалы первого входа. Первый вход обеспечивает сигналы триггеров или свертку уровней.	Produce múltiples copias de la segunda entrada a lo largo de la línea de tiempo de la primera entrada. La primera entrada proporciona las señales de activación o los niveles de convolución.	Produktas plurajn kopiojn de la dua eniga laŭ la templinio de la unua enigo. La unua enigo provizas la ellasilon signalojn aŭ la convolve niveloj.
CHOP Count	Counts the number of times a channel crosses a trigger or release threshold. It operates in either static or realtime ("Cook to Current Frame") mode.	計算通道越過觸發或釋放閾值的次數。它以靜態或實時（“Cook to Current Frame”）模式運行。	チャネルがトリガーまたはリリースのしきい値を超えた回数をカウントします。静的モードまたはリアルタイム（「Cookie to Current Frame」）モードで動作します。	Compte le nombre de fois qu'un canal traverse un seuil de déclenchement ou la libération. Il fonctionne en temps réel en mode statique ou ( « Cook Current Frame »).	Считает количество раз канал пересекает порог срабатывания или высвобождения. Он работает в режиме статического или в режиме реального времени ( «Кук Текущий кадр»).	Cuenta el número de veces que un canal cruza un umbral de disparo o liberación. Funciona en modo estático o en tiempo real ( "Cocine a fotograma actual").	Rakontas la numeron de fojoj kanalo transiras ellasilon aŭ eldono sojlo. Ĝi funkcias en ambaŭ statikaj aŭ realtempan ( "Cook al Nuna Kadro") modo.
CHOP Cross	Is a multi input OP that blends between 2 inputs at a time. This is similar to a Switch CHOP however the Cross CHOP allows for interpolation between the inputs.	是一個多輸入OP，一次混合2個輸入。這類似於Switch CHOP，但Cross CHOP允許在輸入之間進行插值。	一度に2つの入力をブレンドするマルチ入力OPです。これはSwitch CHOPに似ていますが、Cross CHOPは入力間の補間を可能にします。	Est une OP d'entrée multiples qui se mélange entre 2 entrées à la fois. Ceci est similaire à un CHOP Switch mais la Croix-CHOP permet l'interpolation entre les entrées.	Является многопрофильным вход OP, который сочетает между 2 входами в то время. Это похоже на коммутатор CHOP, однако Крест ЧОП позволяет для интерполяции между входами.	OP es una entrada multi que se mezcla entre 2 entradas a la vez. Esto es similar a un interruptor de CHOP CHOP sin embargo la Cruz permite la interpolación entre las entradas.	Estas multi enigo OP kiu miksas inter 2 enigoj samtempe. Tio estas simila al Switch hakas tamen la Kruco hakas enkalkulas interpolo inter la enigoj.
CHOP Cycle	Creates cycles. It can repeat the channels any number of times before and after the original. It can also make a single cycle have a smooth transition from its end to its beginning, so it loops smoothly.	創造週期。它可以在原始之前和之後重複多次通道。它還可以使單個循環從其結束到開始具有平滑過渡，因此它可以順利循環。	サイクルを作成します。オリジナルの前後に何度でもチャンネルを繰り返すことができます。それはまた、単一のサイクルがその終わりからその始まりまで滑らかな遷移を持つようにすることができるので、それは滑らかにループする。	Crée des cycles. Il peut répéter autant de fois que les canaux avant et après l'original. Il peut aussi faire un seul cycle ont une transition en douceur de son extrémité à son début, il boucles en douceur.	Создает циклы. Он может повторить те каналы, любое количество раз до и после оригинала. Он также может сделать один цикл иметь плавный переход от его конца до его начала, так что петли гладко.	Crea ciclos. Se puede repetir los canales de cualquier número de veces antes y después de la original. También puede hacer que un solo ciclo tiene una transición suave desde su extremo a su principio, por lo que los bucles sin problemas.	Kreas cikloj. Ĝi povas ripeti la kanalojn ajn da fojoj antaŭ kaj post la originalo. Ĝi povas ankaŭ fari sola ciklo havas glatan transiron de ĝia fino al lia komenco, do ĝi masxojn glate.
CHOP DAT to	Will create a set of CHOP channels with values derived from a DAT .	將使用從DAT派生的值創建一組CHOP通道。	DATから派生した値でCHOPチャンネルのセットを作成します。	Va créer un ensemble de canaux CHOP avec des valeurs dérivées d'un DAT.	Будет ли создать набор CHOP каналов со значениями, полученными из DAT.	Creará un conjunto de canales de CHOP con valores derivados de una DAT.	Kreos aro de Chop kanalojn kun valoroj derivita de DAT.
CHOP Delay	Delays the input. Multiple channels can be fed in to delay each separately and each channels can have a separate delay time.	延遲輸入。可以饋入多個通道以分別延遲每個通道，並且每個通道可以具有單獨的延遲時間。	入力を遅らせます。複数のチャンネルをそれぞれ別々に遅延させるためにフィードすることができ、各チャンネルは別々の遅延時間を持つことができます。	Retarde l'entrée. De multiples canaux peuvent être alimentés pour retarder chaque séparément et chacun des canaux peuvent avoir un temps de retard distinct.	Задержки на вход. Несколько каналов могут быть поданы в задерживать каждый в отдельности и каждый из каналов могут иметь отдельное время задержки.	Retrasa la entrada. canales múltiples pueden ser alimentados en retrasar cada uno por separado y cada canal puede tener un tiempo de retardo separado.	Prokrastas la enigo. Multnombraj kanaloj povas esti nutritaj en prokrasti ĉiu por aparta kaj ĉiu kanalojn povas havi apartan prokrasto tempo.
CHOP Delete	Removes channels coming from its input. A first method uses a text string to select channels by name or number ranges.	刪除來自其輸入的頻道。第一種方法使用文本字符串按名稱或數字範圍選擇通道。	入力から来るチャンネルを削除します。最初の方法は、名前または番号の範囲でチャンネルを選択するためにテキスト文字列を使用します。	Supprime les canaux provenant de son entrée. Une première méthode utilise une chaîne de texte pour sélectionner les chaînes de plages de nom ou un nombre.	Удаление каналов, поступающих от его входа. Первый способ использует текстовую строку для выбора каналов по имени или номеру диапазонов.	Elimina los canales procedentes de su entrada. Un primer método utiliza una cadena de texto para seleccionar canales por nombre o número rangos.	Forigas kanalojn venanta de ĝia enigo. Al unua metodo uzas teksta ĉeno elekti kanalojn per nomo aŭ nombro gamoj.
CHOP DMX In	Receives channels from DMX or Art-Net devices.  Channel values for DMX are 0-255. NOTE: In TouchDesigner Non-commercial, the DMX Out CHOP is limited to 32 channels.	從DMX或Art-Net設備接收頻道。 DMX的通道值為0-255。注意：在TouchDesigner非商業用途中，DMX Out CHOP限制為32個通道。	DMXまたはArt-Netデバイスからチャンネルを受信します。 DMXのチャネル値は0〜255です。注：非Touch TouchDesignerでは、DMX Out CHOPは32チャンネルに制限されています。	Reçoit des canaux de DMX ou dispositifs Art-Net. Les valeurs de canal pour DMX sont 0-255. REMARQUE: TouchDesigner non commercial, le DMX Out CHOP est limité à 32 canaux.	Принимает каналы из DMX или Art-Net устройств. Значения каналов для DMX являются 0-255. Примечание: В TouchDesigner Некоммерческого, то DMX Out ЧОП ограничен до 32 каналов.	Recibe los canales de DMX o dispositivos de la técnica-Net. valores de los canales de DMX son 0-255. NOTA: En TouchDesigner no comercial, el DMX Fuera CHOP se limita a 32 canales.	Ricevas kanalojn de DMX aŭ Arto-Net aparatoj. Kanalo valoroj por DMX estas 0-255. NOTO: En TouchDesigner Ne-komerca, la DMX El hakas estas limigita al 32 kanalojn.
CHOP DMX Out	Sends channels to DMX or Art-Net devices.  Channel values for DMX are 0-255. The first channel you send into the DMX Out will correspond to the first DMX address (DMX channel) As you add channels to the DMX Out, you will access the next DMX channels in order.	將頻道發送到DMX或Art-Net設備。 DMX的通道值為0-255。發送到DMX Out的第一個通道將對應第一個DMX地址（DMX通道）當您向DMX輸出添加通道時，您將按順序訪問下一個DMX通道。	DMXまたはArt-Netデバイスにチャンネルを送信します。 DMXのチャネル値は0〜255です。 DMX Outに送信する最初のチャンネルは最初のDMXアドレス（DMXチャンネル）に対応します。DMX Outにチャンネルを追加すると、次のDMXチャンネルに順番にアクセスします。	Envoie canaux DMX ou dispositifs Art-Net. Les valeurs de canal pour DMX sont 0-255. Le premier canal que vous envoyez dans le DMX Out correspondra à la première adresse DMX (canal DMX) Lorsque vous ajoutez des canaux à la sortie DMX, vous aurez accès aux chaînes DMX suivantes dans l'ordre.	Посылает каналов DMX или Art-Net устройств. Значения каналов для DMX являются 0-255. Первый канал вы отправляете в DMX Out будет соответствовать первому адресу DMX (DMX канал) Как добавить каналы к DMX Out, вы получите доступ к следующим каналам DMX в порядке.	Envía canales para DMX o dispositivos de la técnica-Net. valores de los canales de DMX son 0-255. El primer canal se envía a la salida DMX corresponderá a la primera dirección DMX (canal DMX) A medida que añada canales a la salida DMX, se accede a los siguientes canales DMX en orden.	Sendas kanalojn por DMX aŭ Arto-Net aparatoj. Kanalo valoroj por DMX estas 0-255. La unua kanalo vi sendas al la DMX El respondos al la unua DMX adreso (DMX kanalo) Kiel vi aldoni kanalojn al la DMX Out, vi aliri la apud DMX kanalojn en ordo.
CHOP Envelope	Outputs the maximum amplitude in the vicinity of each sample of the input. It takes the absolute value of the input, and uses a sliding window of a number of samples to find the maximum amplitude near each sample.	輸出每個輸入樣本附近的最大幅度。它採用輸入的絕對值，並使用多個樣本的滑動窗口來查找每個樣本附近的最大幅度。	入力の各サンプル付近の最大振幅を出力します。これは入力の絶対値を取り、各サンプル付近の最大振幅を見つけるために多数のサンプルのスライディングウィンドウを使用します。	Délivre en sortie l'amplitude maximale au voisinage de chaque échantillon de l'entrée. Il prend la valeur absolue de l'entrée, et utilise une fenêtre glissante d'un certain nombre d'échantillons pour trouver l'amplitude maximale à proximité de chaque échantillon.	Выходы максимальной амплитуды в окрестностях каждой выборки входных данных. Он принимает абсолютное значение входного, и использует скользящее окно числа выборок, чтобы найти максимальную амплитуду вблизи каждого образца.	Emite la amplitud máxima en la proximidad de cada muestra de la entrada. Toma el valor absoluto de la entrada, y utiliza una ventana deslizante de un número de muestras para encontrar la amplitud máxima alrededor de cada muestra.	Eligas la maksimuma amplekso en la najbareco de ĉiu specimeno de la enigo. Ĝi prenas la absoluta valoro de la enigo, kaj uzas fenestro deslizante de kelkaj specimenoj por trovi la maksimuma amplekso proksime unu la specimeno.
CHOP EtherDream	Takes as input up to five channels interpreted as X and Y (horizontal and vertical) position values in the first 2 channels, and red, green and blue color values in the next 3 channels.	最多5個通道輸入前5個通道中的X和Y（水平和垂直）位置值，以及接下來3個通道中的紅色，綠色和藍色值。	最初の2チャンネルではXとY（水平と垂直）の位置値、次の3チャンネルでは赤、緑、青の色の値として解釈される最大5チャンネルを入力として取ります。	Prend en entrée jusqu'à cinq canaux interprétés comme X et Y Les valeurs de position (horizontale et verticale) dans les 2 premiers canaux et les valeurs de couleur rouge, vert et bleu dans les 3 canaux.	Принимает в качестве входных данных до пяти каналов истолкован как X и Y (горизонтальный и вертикальный) значения положения в первых 2-х каналах, и красных, зеленые и синих цветовых значения в течение следующих 3 каналов.	Toma como entrada hasta cinco canales interpretados como valores de color rojo, verde y azul X e Y (horizontal y vertical) valores de posición en los 2 primeros canales, y en los próximos 3 canales.	Prenas kiel enirita ĝis kvin kanalojn interpretita kiel X kaj Y (horizontala kaj vertikala) pozicio valoroj en la unua 2 kanalojn, kaj ruĝa, verda kaj blua koloro valorojn en la venontaj 3 kanalojn.
CHOP Event	Manages the birth and life of overlapping events triggered by devices like a MIDI keyboard. It can be seen as a simple particle system designed for MIDI keyboards.	管理由MIDI鍵盤等設備觸發的重疊事件的誕生和生命。它可以看作是為MIDI鍵盤設計的簡單粒子系統。	MIDIキーボードのようなデバイスによって引き起こされる重複イベントの発生と寿命を管理します。 MIDIキーボード用に設計されたシンプルなパーティクルシステムと見なすことができます。	Gère la naissance et la vie des événements qui se chevauchent déclenchés par des appareils comme un clavier MIDI. Il peut être considéré comme un simple système de particules conçu pour les claviers MIDI.	Руководит рождение и жизнь перекрывающихся события, инициированные устройств, таких как MIDI-клавиатуры. Это можно рассматривать как простую систему частиц, предназначенный для MIDI-клавиатур.	Gestiona el nacimiento y la vida de los acontecimientos desencadenados por dispositivos como un teclado MIDI superpuestas. Puede ser visto como un sistema de partículas sencilla diseñada para teclados MIDI.	Sukcesas la naskiĝo kaj vivo de parte kovranta okazaĵojn deĉenigita de aparatoj kiel MIDI klavaro. Ĝi povas vidi kiel simpla partiklo sistemo desegnita por MIDI klavaroj.
CHOP Expression	Allows you to modify input channels by using math expressions. Up to six expressions are available. Each input channel is modified by exactly one expression, and the expressions are looped for multiple channels.	允許您使用數學表達式修改輸入通道。最多可提供六個表達式。每個輸入通道僅由一個表達式修改，表達式為多個通道循環。	数学式を使用して入力チャンネルを修正することができます。最大6つの表現が利用可能です。各入力チャンネルは厳密に1つの式で変更され、式は複数のチャンネルにループされます。	vous permet de modifier des canaux d'entrée en utilisant des expressions mathématiques. Jusqu'à six expressions sont disponibles. Chaque canal d'entrée est modifié par exactement une expression, et les expressions sont bouclées pour plusieurs canaux.	Позволяет изменять входные каналы с помощью математических выражений. До шести выражений доступны. Каждый входной канал изменяется ровно одним выражением, и выражения петельные для нескольких каналов.	Permite modificar los canales de entrada mediante el uso de expresiones matemáticas. Hasta seis expresiones están disponibles. Cada canal de entrada se modifica por exactamente una expresión, y las expresiones son en bucle para múltiples canales.	Permesas modifi enigo kanalojn uzante matematiko esprimoj. Ĝis ses esprimoj estas disponeblaj. Ĉiu enigo kanalo estas modifita de akurate unu esprimo, kaj la esprimoj estas ripeta GIF por multnombraj kanaloj.
CHOP Extend	Only sets the "extend conditions" of a CHOP, which determines what values you get when sampling the CHOP before or after its interval.	僅設置CHOP的“擴展條件”，它確定在間隔之前或之後對CHOP進行採樣時獲得的值。	CHOPの「拡張条件」のみを設定します。これは、その間隔の前後にCHOPをサンプリングするときに取得する値を決定します。	Seuls les ensembles « étendre les conditions » d'un CHOP, qui détermine ce que vous obtenez des valeurs lors de l'échantillonnage du CHOP avant ou, après son intervalle.	Только устанавливает «расширяющие условия» котлета, которая определяет, какие значения вы получаете, когда отбор проб ЧОПА до или после интервала.	Sólo establece las condiciones de "extender" de un CHOP, que determina qué valores se obtiene cuando se toman muestras del CHOP antes o después de su intervalo.	Nur aroj la "etendi kondiĉoj" de Chop, kiu decidas kiuj aprezas vi ricevas kiam muestreo la kotleton antaŭ aŭ post ĝia intervalo.
CHOP Fan	Converts one channel out to many channels, or converts many channels down to one. Its first operation, Fan Out, takes one channel and generates 2 or more channels.	將一個通道轉換為多個通道，或將多個通道轉換為一個通道。它的第一個操作Fan Out需要一個通道並產生2個或更多通道。	1つのチャンネルを多数のチャンネルに変換するか、多数のチャンネルを1つに変換します。その最初の操作であるファンアウトは1つのチャンネルを取り、2つ以上のチャンネルを生成します。	Convertit un canal sur de nombreux canaux, ou convertit de nombreux canaux à un seul. La première opération, ventilateur arrière, prend une chaîne et génère 2 canaux ou plus.	Преобразование одного канала ко многим каналам, или преобразует множество каналов вниз к одному. Его первая операция, веер, занимает один канал и генерирует 2 или более каналов.	Convierte un canal a muchos canales, o convierte muchos canales a uno. Su primera operación, Fan hacia fuera, lleva un canal y genera 2 o más canales.	Konvertas unu kanalo al multaj kanaloj, aŭ konvertas multajn kanalojn al tiu. Lia unua operacio, Fano Out, prenas unu kanalo kaj generas 2 aŭ pli kanaloj.
